id,level,parent,name_th,name_roman,name_en,class,class_th,resident,upkeep,provenance_sensitivity,form,materials,functions,region,wat_th,maker_th,era_en,what_th,what_en,listings,median_thb,image,image_license,url,json,confidence,updated
kuan-im,kind,,เจ้าแม่กวนอิม,kuan im,Guanyin pendant,thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,nuea_loha|nuea_phong|ngoen,metta_maha_niyom|khum_khrong|khlaeo_khlat,th|diaspora,,ศาลเจ้าจีนและวัดพุทธหลายแห่ง,Avalokitesvara became female in East Asia by about the twelfth century; the Thai cult is Thai-Chinese and Mahayana in origin,จี้หรือรูปเจ้าแม่กวนอิม พระโพธิสัตว์อวโลกิเตศวรในร่างหญิงชุดขาว เทพแห่งความเมตตาของคนไทยเชื้อสายจีน นิยมทำเป็นหยกแกะ,"A pendant or small image of Guanyin, Avalokitesvara in her white-robed female form, the compassion figure of Thai-Chinese households. The classic body is carved jade, worn on a cord.",9,129.0,kuan-im/kuan-im-thousand-armed-guanyin-1-dc0940.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/kuan-im/,https://wichaa.net/amulets/api/kind/kuan-im.json,medium,2026-09-02
kuman-thong,kind,,กุมารทอง,kuman thong,Kuman Thong (raised child-spirit),kuman,กุมารทอง,raised_spirit,feeding,high,figure,nuea_din|nuea_loha,kha_khai|khum_khrong|chok_lap|maha_saneh,th-central|th,,ตำราสร้างเครื่องรางของขลัง (ไม่ระบุผู้แต่ง),Already in the Khun Chang Khun Phaen epic (first printed 1872; Prince Damrong's standard edition 1917–18); the practice is older than the print,รูปเด็กที่ไม่ใช่รูปแทน แต่เป็นบ้าน — วิญญาณเด็กถูกผูกไว้แล้วเลี้ยงอย่างลูก ให้น้ำแดง ข้าว ของเล่น ตั้งชื่อ พูดด้วย ขอให้ช่วย ตำรา ๖๙๘๓ บันทึกวิธีสร้างแบบโบราณไว้เต็ม ในฐานะบันทึกประเพณี,"A child figure that is not a depiction but a home: a bound child-spirit, raised as family — fed sweet red drink and rice, named, spoken to, asked for help. The corpus holds the historical making in full, framed as ethnography, at manuscript 6983.",434,159.0,kuman-thong/kuman-thong-kuman-thong-f2e22b.jpg,CC BY-SA 3.0,https://wichaa.net/amulets/kind/kuman-thong/,https://wichaa.net/amulets/api/kind/kuman-thong.json,high,2026-09-02
lao-phra-khrueang,kind,,พระเครื่องลาว,pha khueang lao,Lao Buddha amulet (Luang Prabang and Vientiane temple issues),phra_khrueang,พระเครื่อง,none,none,low,tablet,samrit|thonglueang|nuea_loha|nuea_phong,khum_khrong|metta_maha_niyom,la|th-isan,วัดในหลวงพระบางและเวียงจันทน์ (เชียงทอง วัดใหม่ วัดองค์ตื้อ),วัดลาวออกให้ อ้างอิงพระบูชาล้านช้าง,"Lan Xang altar images from the fourteenth century (the Vat Manorom colossus is held the oldest); the worn amulet as a Lao temple product is modern, on the Thai pattern",พระเครื่องที่วัดลาวออก — พระพิมพ์ เหรียญ รูปหล่อเล็ก — ต้นแบบคือพระบูชาล้านช้าง เช่นพระยืนปางขอฝนและพระบาง ไม่มีผู้อยู่ ไม่ต้องเลี้ยง,"Amulets issued by Lao temples — tablets, medallions, small casts — modelled on the Lan Xang altar bronzes: the rain-calling standing Buddha, the Phra Bang, the seated earth-toucher. Nobody home, nothing owed.",,,lao-phra-khrueang/lao-phra-khrueang-lan-xang-seated-buddha-bronze-7488aa.jpg,Public domain,https://wichaa.net/amulets/kind/lao-phra-khrueang/,https://wichaa.net/amulets/api/kind/lao-phra-khrueang.json,low,2026-09-02
lao-yan,kind,,ยันต์ลาว,yan (Lao Tham-script yantra),Lao yantra in Tham script,yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,other,pha_yan|takua|thongdaeng,khum_khrong|khong_kraphan|kan_phi|metta_maha_niyom,la|th-isan,,พระและหมอธรรมลาว-อีสาน,"Lao Tham is an adaptation of Lanna Tham; the oldest dated Isan example is the inscription on the base of the principal Buddha at Wat Phra That Phanom, 1503 (BE 2046), under Lan Xang",ยันต์ที่เขียนด้วยตัวธรรมลาว สายอักษรเดียวกับล้านนา ใช้บนผ้า ตะกรุด ใบลาน และผิวหนัง พลังอยู่ที่อักขระและพิธี ไม่มีผู้อยู่,"A yantra written in Lao Tham, the Lanna-family sacred script of Lan Xang and Isan, carried on cloth, in a takrut, on palm leaf, or on skin. Power lives in the letters and the rite; nobody is home.",,,lao-yan/lao-yan-tham-lao-d7ea14.jpg,CC0,https://wichaa.net/amulets/kind/lao-yan/,https://wichaa.net/amulets/api/kind/lao-yan.json,medium,2026-09-02
lek-lai,kind,,เหล็กไหล,lek lai,Lek lai (living iron),khong_thammachat,เครื่องรางธรรมชาติ,none,none,low,natural,nuea_loha,khong_kraphan|maha_ut|khlaeo_khlat,th|my,,,,โลหะดำมันวาวที่เชื่อว่ามีชีวิต ตัดจากถ้ำด้วยพิธี ว่ากินน้ำผึ้งและกันคมอาวุธ ฤทธิ์อยู่ในตัวของมันเอง เป็นหมวดที่ของปลอมชอบที่สุด ซึ่งเป็นคำเตือนในตัว,"A dark lustrous metal the tradition holds to be alive — drawn from caves by rite, said to drink honey and turn aside blades. Power inherent in the thing itself; the category every faker loves, which is its own caution.",35,90.0,,,https://wichaa.net/amulets/kind/lek-lai/,https://wichaa.net/amulets/api/kind/lek-lai.json,medium,2026-09-02
locket,kind,,ล็อกเก็ต,locket,photograph locket,yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,locket,kesa|chiwon|nuea_phong|phong_phuttakhun,metta_maha_niyom|khum_khrong,th,,วัดและสำนักทั่วประเทศ,"Follows the spread of photography; the oldest free Commons example is a photo-under-glass of Phra Phimontham (Nak), Wat Arun, dated BE 2475",รูปถ่ายพระเกจิผนึกใต้กระจกหรือเรซิน หลังอุดผง เกศา หรือจีวร — คือที่บรรจุพระธาตุแบบพกพาในรูปของเครื่องประดับ พลังอยู่ที่มวลสารและพิธี ไม่มีผู้อยู่,"A monk's photograph sealed under glass or resin, often with powder, hair, or robe-cloth packed behind the image — a portable reliquary in costume jewellery's clothes.",138,149.0,locket/locket-zz005-23cb6c.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/locket/,https://wichaa.net/amulets/api/kind/locket.json,medium,2026-09-02
luang-pu-thuat,kind,,หลวงปู่ทวด,luang pu thuat,Luang Pu Thuat amulet,phra_khrueang,พระเครื่อง,none,none,low,tablet,nuea_waan|nuea_loha|thonglueang|samrit|ngoen,khlaeo_khlat|khum_khrong|khong_kraphan,th-south|th,วัดช้างให้ จังหวัดปัตตานี,พระอาจารย์ทิม ธมฺมธโร เจ้าอาวาสวัดช้างให้,The monk is Ayutthaya-period (1582–1682); the amulets begin in 1954,พระเครื่องรูปหลวงปู่ทวด พระเถระสมัยอยุธยาแห่งภาคใต้ ผู้เหยียบน้ำทะเลจืด รุ่นแรกเนื้อว่านจากวัดช้างให้ พ.ศ. ๒๔๙๗ รุ่นหลังเป็นเหรียญและหลังเตารีด นับถือทางแคล้วคลาด,"Amulets bearing Luang Pu Thuat, the Ayutthaya-period southern monk who is said to have turned seawater fresh. The first run is a wan-powder tablet from Wat Chang Hai in 1954; later runs are medallions and cast figures, carried for narrow escape.",353,99.0,luang-pu-thuat/luang-pu-thuat-luang-phor-thuad-2497-d05eaf.png,CC BY-SA 4.0,https://wichaa.net/amulets/kind/luang-pu-thuat/,https://wichaa.net/amulets/api/kind/luang-pu-thuat.json,high,2026-09-02
luk-om,kind,,ลูกอม,luk om,Luk om (mouth-held charm ball),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,bead,nuea_phong|phong_phuttakhun|nuea_waan|takua,khong_kraphan|khlaeo_khlat,th,,ตำราสร้างเครื่องรางของขลัง (ไม่ระบุผู้แต่ง); วัดบางปะกอก (หลวงปู่พริ้ง) ทำลูกอมดำ; วัดหนองบัว กาญจนบุรี มีลูกอมหมากทุย,Undated treatise; the named temple issues are 20th century by their makers' lives,ลูกกลมเล็กที่ปั้นจากผงว่าน ม้วนจากกระดาษยันต์พันด้าย หรือกล่อมจากแผ่นตะกั่วลงยันต์ เสกแล้วอมไว้ในปากหรือพกติดตัว ตำราให้เพื่อคงกระพันแคล้วคลาด ไม่มีผู้อยู่,"A small consecrated ball — herb-and-powder paste, a thread-wound paper yantra, or an inscribed lead sheet worked round — held in the mouth or carried, for invulnerability and evasion. Power in the yantra and the chant; nobody home.",105,300.0,,,https://wichaa.net/amulets/kind/luk-om/,https://wichaa.net/amulets/api/kind/luk-om.json,high,2026-09-02
luk-sakot,kind,,ลูกสะกด,luk sakot,Luk sakot (lead subduing beads),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,bead,takua,sakot|khong_kraphan|khlaeo_khlat,th,,,"No dated attestation found; the function is in the undated treatise, the bead form is not",เม็ดตะกั่วเล็กจารอักขระ เจาะรูร้อยเชือก ชื่อมาจากหน้าที่ 'สะกด' — ทำให้คนหรือสัตว์นิ่งหรือหลับ ปัจจุบันขายคู่ตะกรุดในความหมายคงกระพันแคล้วคลาด ไม่มีผู้อยู่,"Small incised lead beads, pierced and strung, named for the function สะกด — subduing, putting to sleep — and now sold beside takrut as invulnerability-and-evasion beads. Power in the letters and the chant; nobody home.",4,439.5,,,https://wichaa.net/amulets/kind/luk-sakot/,https://wichaa.net/amulets/api/kind/luk-sakot.json,low,2026-09-02
mit-mo,kind,,มีดหมอ,mit mo,Mit mo (ritual knife),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,blade,nuea_loha,kan_phi|chang_ngang|sakot|kambang|khong_kraphan,th-central|th,วัดประดู่ทรงธรรม,หลวงพ่อม่วง ตราพระขรรค์เพชร ตามที่ตำราระบุ,Undated treatise; the knife appears in the poem Krai Thong among the hero's weapons per Thai Wikipedia,มีดที่ตีและลงอักขระเป็นเครื่องมือของหมอผี ใช้ตัดสิ่งที่ผูกมัด ไม่ใช่ตัดให้เลือดออก ตำรา ๖๙๘๓ ในคลังนี้บันทึกตำรับเหล็กสิบชนิดจากวัดประดู่ทรงธรรม,"A knife forged and inscribed as an instrument of the doctor-of-spirits — for cutting what binds, not what bleeds. Manuscript 6983 in this corpus records a ten-iron forge recipe from Wat Pradu Song Tham.",194,357.365,mit-mo/mit-mo-mitmorknife-1a2187.jpg,CC0,https://wichaa.net/amulets/kind/mit-mo/,https://wichaa.net/amulets/api/kind/mit-mo.json,high,2026-09-02
mustika,kind,,หินมุสติกา,mustika,Batu mustika (stones and 'pearls' of inherent power),khong_thammachat,เครื่องรางธรรมชาติ,none,none,low,natural,,khum_khrong|chok_lap,id|my,,ไม่มีผู้สร้าง — “พบ” หรือ “ถูกดึงมา” (tarikan gaib) โดยดุกุน,The Asia–Europe bezoar trade of c. 1500–1700 valued Southeast Asian porcupine stones especially (en.wikipedia); the mustika cult on the modern Indonesian market is undated,หินหรือเม็ดธรรมชาติที่โลกมลายู-ชวาถือว่ามีทัวะห์ในตัว — หินแร่ หินเบซัวร์จากท้องสัตว์ (geliga) หรือ “ไข่มุก” จากพืชและสัตว์ — พบ ไม่ได้สร้าง มักเลี่ยมแหวน ตลาดอินโดนีเซียเติมความเชื่อเรื่อง khodam (ผู้อยู่) เข้าไป ซึ่งหมวดของ vault ไม่รองรับ,"A natural stone or nodule the Malay-Javanese world holds to carry its own tuah — a mineral, a bezoar cut from an animal (geliga), or a 'pearl' claimed from a plant or creature. Found, not made; usually ring-set. The Indonesian market adds a khodam, a resident spirit, which the vault's natural-talisman class does not carry — noted, not adopted.",,,mustika/mustika-acm-bezoar-stone-and-holder-box-03567-d588ab.jpg,CC0,https://wichaa.net/amulets/kind/mustika/,https://wichaa.net/amulets/api/kind/mustika.json,low,2026-09-02
nang-kwak,kind,,นางกวัก,nang kwak,Nang Kwak (the beckoning lady),thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,nuea_loha|nuea_din|nuea_phong|nuea_waan,kha_khai|metta_maha_niyom|chok_lap|maha_saneh,th,,ตำราสร้างเครื่องรางของขลัง (ไม่ระบุผู้แต่ง) ให้ ๖ วิธี,Undated treatise; the figure is older than any dated print,นางกวัก หญิงนั่งยกมือกวักเรียกลูกค้า — ทั้งรูปตั้งหิ้งและจี้ เป็นเทพที่บูชาด้วยความเคารพและเครื่องสักการะเล็กน้อย ตลาดทุกแห่งในประเทศทำมาค้าขายใต้มือของนาง,"The shop-keeper's lady, hand raised in the customer-calling gesture — shelf statue and pendant both. Venerated with respect and small offerings; every market in the country works under her hand.",457,259.0,nang-kwak/nang-kwak-nang-kwak-for-sell-at-a-shop-in-wat-pras-5d2715.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/nang-kwak/,https://wichaa.net/amulets/api/kind/nang-kwak.json,high,2026-09-02
nat-figure,kind,,นัต,nat,Nat figure (Burmese spirit-deity),thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,,khum_khrong|kan_phi|chok_lap|kha_khai,mm|shan,,,King Anawrahta (r. 1044–1077) fixed the official pantheon of 37 Great Nats; Thagyamin was set at its head,รูปนัต เทพารักษ์ของพม่าที่บูชาควบคู่กับพุทธศาสนา มีนัตหลวง ๓๗ ตน นำโดยตะจาหมิ่น (ท้าวสักกะ) มีมหาคีรีเป็นนัตประจำบ้าน และโบโบจีเป็นนัตประจำเจดีย์ ตั้งในศาลที่บ้าน ร้าน และวัด เป็นเทพที่บูชา ไม่ใช่ผีที่เลี้ยง,"Figures of the nats, the spirit-deities venerated in Myanmar alongside Buddhism: the 37 Great Nats headed by Thagyamin (Sakka), Mahagiri the house nat, and Bo Bo Gyi the guardian of each pagoda, kept in shrines at home, in shops and at pagodas. A deva-tier being venerated through the object — worship, not necromancy.",8,229.0,nat-figure/nat-figure-thagyamin-at-shwedagon-pagoda-39834c.jpg,CC BY 2.0,https://wichaa.net/amulets/kind/nat-figure/,https://wichaa.net/amulets/api/kind/nat-figure.json,high,2026-09-02
palad-khik,kind,,ปลัดขิก,palat khik,Palad khik (phallic waist charm),,ยังไม่ชี้ขาด,,,,other,kala|khao|nuea_loha,maha_saneh|kan_phi|chok_lap|kha_khai,th,,ตำราสร้างเครื่องรางของขลัง (ไม่ระบุผู้แต่ง) · วิกิพีเดียไทยเอ่ยชื่อหลวงพ่อเหลือ วัดสาวชะโงก เป็นผู้สร้างที่มีชื่อ,"Undated treatise. Both Wikipedias trace the form to the Shiva linga and Indian influence roughly two thousand years back; that is a lineage claim, not a date",แท่งแกะหรือหล่อรูปอวัยวะเพศชาย พกติดตัวเพื่อโชค การค้า และคุ้มกัน เป็นเครื่องรางที่เก่าแก่ที่สุดแบบหนึ่งของแถบนี้ และเป็นแบบที่ประเพณีเองจัดไว้สองทาง — ของขลังไม่มีผู้อยู่ทางหนึ่ง ที่สถิตของผู้คุ้มครองอีกทางหนึ่ง,"A carved or cast phallic rod, pocket-carried for luck, trade and protection — one of the oldest charm forms in the region, and one the tradition itself files two different ways.",285,100.0,palad-khik/palad-khik-talisman-market-bangkok-16-28327740695-3f451e.jpg,CC BY 2.0,https://wichaa.net/amulets/kind/palad-khik/,https://wichaa.net/amulets/api/kind/palad-khik.json,high,2026-09-02
pha-yan,kind,,ผ้ายันต์,pha yan,Pha yan (yantra cloth),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,cloth,pha_yan,khum_khrong|khlaeo_khlat|khong_kraphan|kan_phi|metta_maha_niyom,th,,,Thai Wikipedia has King Taksin handing prachiat to his commanders around 1769 and Rama I to his soldiers around 1785; both dates unverified against a primary,ผ้าผืนสี่เหลี่ยมหรือธงที่เขียนตาราง รูป และอักขระ แขวนเหนือประตู พับใส่กระเป๋า หรือพันตัว ลายยันต์มีดัชนีของตัวเองที่ /yant,"A cloth square or banner drawn with grids, figures and script — hung over a door, folded into a pocket, or worn. The drawn designs have their own index here: /yant.",397,98.0,pha-yan/pha-yan-yant-paed-tidt-067498.jpg,Public domain,https://wichaa.net/amulets/kind/pha-yan/,https://wichaa.net/amulets/api/kind/pha-yan.json,medium,2026-09-02
phat-ban-menh,kind,,พระพุทธเจ้าประจำปีนักษัตรจีน,Phật bản mệnh,Birth-year guardian Buddha pendant,phra_khrueang,พระเครื่อง,none,none,low,medallion,,khum_khrong|khlaeo_khlat,vn|diaspora,,โรงงานเครื่องประดับและร้านค้าออนไลน์ ไม่ผูกกับวัดใด,The twelve-branch guardian set is Japanese Shingon practice; Chinese Wikipedia notes it appears in no sutra. Its spread as a Chinese and Vietnamese retail pendant is recent and undated in the sources,จี้พระพุทธเจ้าหรือพระโพธิสัตว์ ๑ ใน ๘ องค์ เลือกตามปีนักษัตรจีนของผู้ใส่ ชุดนี้มาจากนิกายชินงอนญี่ปุ่น ขายเป็นเครื่องประดับในจีนและเวียดนาม ไทยมีขายบ้างในชื่อ 'พระประจำปีเกิด นักษัตรจีน' ไม่ใช่พระประจำวันเกิดแบบไทย,"A pendant of one of eight Buddhas and bodhisattvas, chosen by the wearer's Chinese zodiac year. The eight-figure set is Japanese Shingon practice, sold today as jewellery across China and Vietnam and, thinly, in Thailand under 'Chinese zodiac birth-year Buddha'. It is not the Thai weekday birthday Buddha.",2,56.629999999999995,,,https://wichaa.net/amulets/kind/phat-ban-menh/,https://wichaa.net/amulets/api/kind/phat-ban-menh.json,medium,2026-09-02
phaya-khrut,kind,,พญาครุฑ,phaya khrut,Phaya Khrut (the garuda),thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,nuea_loha|thonglueang|samrit,khum_khrong|kan_phi|kha_khai|metta_maha_niyom,th,,,The garuda is the royal and national emblem of Thailand and an old temple and palace motif; when it became a mass-market amulet is not something this record can date,พญาครุฑ ราชาแห่งนก กางปีก — อำนาจ แคล้วคลาด และหนี้ที่ไม่กล้าตามมา หล่อโลหะตั้งแต่จี้จนถึงรูปตั้ง เป็นเทพที่บูชาผ่านวัตถุ ไม่ต้องเลี้ยง,"The king of birds, wings spread — authority, safe passage, and debt that dares not follow. Cast in metal from pendant to standard.",170,99.95,phaya-khrut/phaya-khrut-siam-garuda-inginocchiato-in-anjalimudra-358b7e.jpg,CC BY 3.0,https://wichaa.net/amulets/kind/phaya-khrut/,https://wichaa.net/amulets/api/kind/phaya-khrut.json,medium,2026-09-02
phaya-nak,kind,,พญานาค,phaya nak,Naga pendant,thep_thewada,เทพ / เทวดา,deva,veneration,medium,figure,nuea_loha|thonglueang|nuea_phong|nuea_waan,chok_lap|metta_maha_niyom|khum_khrong,th|th-isan,,หลายวัดและสำนัก โดยเฉพาะอีสานลุ่มน้ำโขง,The present naga cult; the cabinet named the naga a national symbol in November 2022,จี้หรือรูปหล่อพญานาค เจ้าแห่งงูและน้ำในความเชื่อไทย-ลาว ผู้เฝ้าแม่น้ำโขง เป็นเครื่องรางที่นิยมที่สุดของยุคนี้ ขอโชคลาภและเมตตา,"A pendant or small cast figure of the naga, serpent-lord of water in Thai-Lao belief and keeper of the Mekong. The most fashionable deity object of the present decade, asked for luck and favour.",67,78.21,phaya-nak/phaya-nak-n-ga-at-wat-kham-chanot-9d5c1f.jpg,CC BY-SA 3.0,https://wichaa.net/amulets/kind/phaya-nak/,https://wichaa.net/amulets/api/kind/phaya-nak.json,medium,2026-09-02
phaya-tao-ruean,kind,,พญาเต่าเรือน,phaya tao ruean,Phaya Tao Ruean (turtle-king charm),yantra_wattu,วัตถุมงคล (ยันต์),none,none,low,figure,nuea_loha|nuea_din,chok_lap|kha_khai|khum_khrong,th-central,วัดไร่แตงทอง นครปฐม · วัดไทรทองพัฒนา กาญจนบุรี (ตามการ์ด),หลวงปู่หลิว ปุณฺณโก,Wat Rai Taeng Thong was founded 17 March 1992 per Thai Wikipedia; the famous turtle issues are usually placed in the late 20th century (tradition),เต่าเรือนในสายหลวงปู่หลิว — ทรัพย์ที่ค่อยมาแล้วอยู่ อายุยืน บ้านมั่นคง วัตถุมงคลปลุกเสก ไม่มีผู้อยู่,"The house-turtle amulet in the line of Luang Pu Liu — slow money that stays, long life, a household that holds. Blessed object, no resident.",377,139.0,,,https://wichaa.net/amulets/kind/phaya-tao-ruean/,https://wichaa.net/amulets/api/kind/phaya-tao-ruean.json,medium,2026-09-02
phra-bang-pendant,kind,,พระบาง,pha bang,Phra Bang pendant (copies of the Lao palladium),phra_khrueang,พระเครื่อง,none,none,low,figure,samrit|thonglueang|nuea_loha|thongkham,khum_khrong,la|th-isan,หอพระบาง วังหลวง หลวงพระบาง (ต้นแบบ),ตำนานว่าหล่อที่ลังกา · นักวิชาการว่าศิลปะขอมปลายศตวรรษที่ 12–ต้น 13,"Reached Lan Xang in 1359 as the Khmer king's gift to Fa Ngum; to Vientiane 1705; taken to Bangkok 1778 and returned 1782, taken again 1828 and returned 1867 under Rama IV; moved into the Haw Pha Bang in 2013",จี้และรูปหล่อย่อส่วนของพระบาง พระพุทธรูปคู่บ้านคู่เมืองลาวที่หลวงพระบางได้ชื่อมาจาก ยืนยกสองพระหัตถ์ ไม่มีผู้อยู่ ไม่ต้องเลี้ยง,"Pendants and miniature casts of the Phra Bang, the standing two-palms-forward Buddha that is the palladium of Laos and gave Luang Prabang its name. Nobody home, nothing owed.",,,phra-bang-pendant/phra-bang-pendant-phra-bang-budhhalawan-77f211.jpg,Public domain,https://wichaa.net/amulets/kind/phra-bang-pendant/,https://wichaa.net/amulets/api/kind/phra-bang-pendant.json,high,2026-09-02
phra-chiang-saen,kind,,พระเชียงแสน,phra chiang saen,Chiang Saen (Lanna) bronze Buddha,phra_khrueang,พระเครื่อง,none,none,low,figure,samrit|nuea_loha|thongdaeng,khum_khrong|khlaeo_khlat|metta_maha_niyom,th-north,,ช่างหล่อล้านนา ไม่ระบุ,"Lanna art, roughly the 13th to 18th centuries CE (Buddhist centuries 19–24)",พระพุทธรูปสำริดแบบล้านนาที่วงการเรียกรวมว่าพระเชียงแสน แบ่งเป็นสิงห์หนึ่ง สิงห์สอง สิงห์สาม ตามหน้า เกตุ และชายจีวร มีทั้งองค์บูชาและองค์จ้อยห้อยคอ,"Lanna bronze Buddhas the trade groups as พระเชียงแสน, sorted into Sing 1, 2 and 3 by face, ushnisha and robe flap; from altar images down to wearable 'ong choi' pieces.",1,129.0,phra-chiang-saen/phra-chiang-saen-jpg-febe0b.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/phra-chiang-saen/,https://wichaa.net/amulets/api/kind/phra-chiang-saen.json,medium,2026-09-02
phra-hu-yan,kind,,พระหูยาน,phra hu yan,Phra Hu Yan (Lopburi long-eared tablet),phra_khrueang,พระเครื่อง,none,none,low,tablet,nuea_chin|sanim_daeng|nuea_din,khong_kraphan|metta_maha_niyom,th-central,วัดพระศรีรัตนมหาธาตุ ลพบุรี (ปฐมกรุ),,Late Lopburi period per Thai Wikipedia; the cache first opened about B.E. 2450 (the 'old cache') and again about B.E. 2508 (the 'new cache'),พระพิมพ์ศิลปะลพบุรีจากกรุวัดพระศรีรัตนมหาธาตุ ลพบุรี องค์พระนั่งสมาธิราบ พระกรรณยาวจรดบ่า จึงได้ชื่อ เนื้อชินเป็นหลัก เชื่อกันเรื่องคงกระพัน ไม่มีผู้ใดสถิตอยู่,"A Lopburi-style tablet from the cache at Wat Phra Si Rattana Mahathat, Lopburi: a Buddha seated flat in meditation whose ears run down to the shoulders, which is the name. Mostly chin alloy. Held for invulnerability. Nobody is home.",2,339.0,,,https://wichaa.net/amulets/kind/phra-hu-yan/,https://wichaa.net/amulets/api/kind/phra-hu-yan.json,medium,2026-09-02
phra-khanaen,kind,,พระคะแนน,phra khanaen,Phra Khanaen (counting piece),phra_khrueang,พระเครื่อง,none,none,low,tablet,nuea_din|nuea_chin|nuea_phong,,th,,,A counting convention used both in old caches and in later temple runs; Thai Wikipedia notes the practice is no longer widespread,พระเครื่ององค์เล็กที่สร้างไว้ใช้นับจำนวนพระในชุดเดียวกัน หนึ่งองค์แทนพระหลักจำนวนหนึ่ง ทำให้เล็กกว่าเพื่อแยกออกได้ชัด ไม่มีผู้ใดสถิตอยู่,"A small amulet made to tally a batch: one counting piece stands for a fixed number of main pieces, and it is made smaller so the two never mix. Nobody is home.",0,,,,https://wichaa.net/amulets/kind/phra-khanaen/,https://wichaa.net/amulets/api/kind/phra-khanaen.json,medium,2026-09-02
phra-khong,kind,,พระคง,phra khong,Phra Khong (Lamphun cache tablet),phra_khrueang,พระเครื่อง,none,none,low,tablet,nuea_din,khong_kraphan|khlaeo_khlat,th-north,วัดพระคงฤๅษี,ตำนานยกให้ฤๅษีสมัยพระนางจามเทวี,"Hariphunchai period; the wat's founding legend gives B.E. 1200, which is legend, not a date for the tablets",พระพิมพ์ดินเผาหริภุญชัยจากกรุวัดพระคงฤๅษี ลำพูน คู่แฝดของพระรอด องค์พระนั่งใต้ซุ้มใบโพธิ์ ชื่อ “คง” ทำให้คนถือเป็นพระคงกระพัน,"A Hariphunchai fired-earth tablet from the cache at Wat Phra Khong Ruesi in Lamphun, the stockier twin of the พระรอด: a seated Buddha under bodhi leaves. The name คง (endure) is why the trade reads it as a คงกระพัน amulet.",2,134.965,,,https://wichaa.net/amulets/kind/phra-khong/,https://wichaa.net/amulets/api/kind/phra-khong.json,medium,2026-09-02
phra-kring,kind,,พระกริ่ง,phra kring,Phra Kring (rattling cast Buddha),phra_khrueang,พระเครื่อง,none,none,low,figure,nawaloha|samrit|thonglueang|nuea_loha,khum_khrong|khlaeo_khlat,th-central|th,วัดบวรนิเวศวิหาร · วัดสุทัศนเทพวราราม,สมเด็จพระมหาสมณเจ้า กรมพระยาปวเรศวริยาลงกรณ์ · สมเด็จพระสังฆราช (แพ ติสฺสเทโว),"Tibetan, Chinese and Khmer forms precede it; Thai evidence from Sukhothai–Ayutthaya, the collected lineages are Rattanakosin",พระพุทธรูปหล่อโลหะขนาดเล็ก ภายในกลวงบรรจุเม็ดกริ่ง เขย่าแล้วดัง สืบสายมาจากพระไภษัชยคุรุแบบจีน–ทิเบต หล่อด้วยนวโลหะหรือสัมฤทธิ์ พลังอยู่ที่ผู้สร้างและพิธี ไม่มีผู้อยู่,A small cast Buddha with a pellet sealed inside — shake it and it chimes. Cast in bronze or nawaloha in the Chinese-Tibetan medicine-Buddha line.,36,100.0,phra-kring/phra-kring-wat-suthat-phra-kring-f2de3d.jpg,CC BY-SA 4.0,https://wichaa.net/amulets/kind/phra-kring/,https://wichaa.net/amulets/api/kind/phra-kring.json,high,2026-09-02
phra-kru,kind,,พระกรุ,phra kru,Phra Kru (cache-find amulet),phra_khrueang,พระเครื่อง,none,none,low,tablet,nuea_din|nuea_chin|sanim_daeng|nuea_phong,khum_khrong,th,,,"The practice of sealing votive tablets in a stupa's chamber to carry the religion forward, per Thai Wikipedia; the tablets surface when the structure fails or is opened",พระพิมพ์ที่ได้จากกรุเจดีย์ที่ปิดไว้ — ดินเผาหรือชินมากกว่าผง มีคราบและแร่บานจากหลายร้อยปีในกรุ อายุคือคำถามทั้งหมด ผิวคือพยาน ไม่มีผู้ใดสถิตอยู่,"An amulet recovered from a sealed temple cache (กรุ) — fired earth or chin alloy more often than powder, with the crust and mineral bloom of centuries in the chamber. Age is the whole question; the surface is the testimony.",37,129.0,phra-kru/phra-kru-terracotta-buddha-sealing-14th-15th-cent-4c65d9.jpg,Public domain,https://wichaa.net/amulets/kind/phra-kru/,https://wichaa.net/amulets/api/kind/phra-kru.json,high,2026-09-02
